case_id,request_id,dest_location,priority,demand_qty,min_lot,rounding_value
CASE_01,R-101,DC_A,1,40,0,25
CASE_01,R-102,DC_B,1,40,0,25
CASE_01,R-103,DC_C,1,40,0,25
CASE_02,R-201,DC_A,1,50,30,10
CASE_02,R-202,DC_B,1,50,30,10
CASE_02,R-203,DC_C,1,50,30,10
CASE_02,R-204,DC_D,1,50,30,10
CASE_03,R-301,DC_A,1,0,0,5
CASE_03,R-302,DC_B,2,-10,0,5
CASE_03,R-303,DC_C,3,45,0,5
CASE_03,R-304,DC_D,1,30,0,0
CASE_04,R-405,DC_E,2,25,0,1
CASE_04,R-401,DC_A,2,25,0,1
CASE_04,R-403,DC_C,2,25,0,1
CASE_04,R-402,DC_B,2,25,0,1
CASE_04,R-404,DC_D,2,25,0,1
CASE_05,R-501,DC_A,1,40,0,25
CASE_05,R-502,DC_B,2,33,0,10
CASE_05,R-503,DC_C,3,7,0,5
CASE_06,R-601,DC_A,1,100,30,25
CASE_06,R-602,DC_B,1,100,250,10
CASE_06,R-603,DC_C,2,80,0,7
CASE_07,R-701,DC_A,1,100,0,1
CASE_07,R-702,DC_B,2,10,0,1
CASE_07,R-703,DC_C,3,10,0,1
